Tutor ID,Student ID,Closeness Score,Tutor BFI,Student BFI,Tutor VARK,Student VARK,Tutoring Experience,Similarity
T004,S011,33,"{'Openness': 3.5, 'Conscientiousness': 4.0, 'Extroversion': 2.25, 'Agreeableness': 3.5, 'Neuroticism': 3.75}","{'Openness': 3.25, 'Conscientiousness': 4.0, 'Extroversion': 3.5, 'Agreeableness': 4.25, 'Neuroticism': 4.25}","{'V': 11, 'A': 8, 'R': 3, 'K': 15}","{'V': 3, 'A': 5, 'R': 4, 'K': 4}",No Experience,0.9301
T003,S008,33,"{'Openness': 3.25, 'Conscientiousness': 3.75, 'Extroversion': 3.25, 'Agreeableness': 4.0, 'Neuroticism': 3.25}","{'Openness': 2.5, 'Conscientiousness': 2.5, 'Extroversion': 3.5, 'Agreeableness': 4.0, 'Neuroticism': 1.75}","{'V': 10, 'A': 10, 'R': 0, 'K': 14}","{'V': 5, 'A': 3, 'R': 4, 'K': 4}",1 - 2 Years,0.9067
T004,S010,27,"{'Openness': 3.5, 'Conscientiousness': 4.0, 'Extroversion': 2.25, 'Agreeableness': 3.5, 'Neuroticism': 3.75}","{'Openness': 3.5, 'Conscientiousness': 3.25, 'Extroversion': 3.75, 'Agreeableness': 2.75, 'Neuroticism': 4.25}","{'V': 11, 'A': 8, 'R': 3, 'K': 15}","{'V': 2, 'A': 9, 'R': 3, 'K': 8}",No Experience,0.9186
T001,S006,35,"{'Openness': 4.5, 'Conscientiousness': 4.5, 'Extroversion': 3.0, 'Agreeableness': 4.0, 'Neuroticism': 2.75}","{'Openness': 4.75, 'Conscientiousness': 4.0, 'Extroversion': 4.75, 'Agreeableness': 4.0, 'Neuroticism': 4.25}","{'V': 13, 'A': 5, 'R': 15, 'K': 6}","{'V': 9, 'A': 0, 'R': 6, 'K': 1}",5+ Years,0.9471
T001,S009,39,"{'Openness': 4.5, 'Conscientiousness': 4.5, 'Extroversion': 3.0, 'Agreeableness': 4.0, 'Neuroticism': 2.75}","{'Openness': 3.0, 'Conscientiousness': 2.75, 'Extroversion': 3.0, 'Agreeableness': 3.25, 'Neuroticism': 2.75}","{'V': 13, 'A': 5, 'R': 15, 'K': 6}","{'V': 6, 'A': 5, 'R': 9, 'K': 8}",5+ Years,0.9577
T002,S002,35,"{'Openness': 3.25, 'Conscientiousness': 3.0, 'Extroversion': 2.25, 'Agreeableness': 4.5, 'Neuroticism': 4.0}","{'Openness': 4.5, 'Conscientiousness': 4.0, 'Extroversion': 4.75, 'Agreeableness': 5.0, 'Neuroticism': 4.25}","{'V': 2, 'A': 5, 'R': 7, 'K': 14}","{'V': 0, 'A': 5, 'R': 5, 'K': 7}",No Experience,0.9674
T005,S004,37,"{'Openness': 4.0, 'Conscientiousness': 4.0, 'Extroversion': 2.5, 'Agreeableness': 4.0, 'Neuroticism': 2.75}","{'Openness': 4.25, 'Conscientiousness': 3.75, 'Extroversion': 4.25, 'Agreeableness': 4.5, 'Neuroticism': 3.25}","{'V': 7, 'A': 5, 'R': 4, 'K': 14}","{'V': 3, 'A': 5, 'R': 0, 'K': 8}",No Experience,0.9634
T007,S003,44,"{'Openness': 5.0, 'Conscientiousness': 3.75, 'Extroversion': 3.75, 'Agreeableness': 4.25, 'Neuroticism': 3.75}","{'Openness': 3.5, 'Conscientiousness': 3.25, 'Extroversion': 4.0, 'Agreeableness': 3.0, 'Neuroticism': 4.5}","{'V': 9, 'A': 14, 'R': 14, 'K': 8}","{'V': 6, 'A': 4, 'R': 5, 'K': 1}",No Experience,0.9471
T002,S007,33,"{'Openness': 3.25, 'Conscientiousness': 3.0, 'Extroversion': 2.25, 'Agreeableness': 4.5, 'Neuroticism': 4.0}","{'Openness': 3.25, 'Conscientiousness': 3.25, 'Extroversion': 4.0, 'Agreeableness': 4.25, 'Neuroticism': 4.5}","{'V': 2, 'A': 5, 'R': 7, 'K': 14}","{'V': 5, 'A': 2, 'R': 3, 'K': 6}",No Experience,0.9291
T008,S005,36,"{'Openness': 3.25, 'Conscientiousness': 4.0, 'Extroversion': 3.25, 'Agreeableness': 4.0, 'Neuroticism': 3.5}","{'Openness': 4.0, 'Conscientiousness': 4.75, 'Extroversion': 4.0, 'Agreeableness': 4.5, 'Neuroticism': 2.5}","{'V': 6, 'A': 8, 'R': 4, 'K': 10}","{'V': 6, 'A': 5, 'R': 10, 'K': 7}",No Experience,0.9295
T006,S001,48,"{'Openness': 4.25, 'Conscientiousness': 3.5, 'Extroversion': 4.0, 'Agreeableness': 4.75, 'Neuroticism': 4.25}","{'Openness': 3.75, 'Conscientiousness': 3.25, 'Extroversion': 3.75, 'Agreeableness': 5.0, 'Neuroticism': 4.0}","{'V': 12, 'A': 13, 'R': 15, 'K': 14}","{'V': 4, 'A': 2, 'R': 5, 'K': 7}",No Experience,0.9691
